X,Y,Author(s),Year,r,n
Explorational Stress,Career Exploration,"Stumpf, Colarelli, Hartman",1983,-0.018,241
Explorational Stress,Career Exploration,"Stumpf, Colarelli, Hartman",1983,0.047,185
Locus of Control,Career Exploration,Tressler,2015,0.06,164
Extraversion,Career Exploration,Tully,2007,0.129,200
Neuroticism,Career Exploration,Tully,2007,-0.06,200
Neuroticism,Career Exploration,Vignoli,2015,0.14,240
CDMSE,Career Exploration,Xu & Tracey,2017,0.483,248
Agreeableness,Career Exploration,Zikic,2005,0.112,304
Conscientiousness,Career Exploration,Zikic,2005,0.13,304
Extraversion,Career Exploration,Zikic,2005,0.077,304
Neuroticism,Career Exploration,Zikic,2005,0.035,304
Openness,Career Exploration,Zikic,2005,0.177,304
